date,weekday,weather,temperature,is_holiday,ticket_price,event,visitors,high_attendance
2020-01-01,Wednesday,sunny,2,0,700,0,1965,0
2020-01-02,Thursday,sunny,0,0,700,1,3214,1
2020-01-03,Friday,sunny,-3,0,800,1,2152,0
2020-01-04,Saturday,cloudy,-1,1,600,0,2616,1
2020-01-05,Sunday,cloudy,4,1,600,0,2681,1
2020-01-06,Monday,cloudy,4,0,600,0,1767,0
2020-01-07,Tuesday,cloudy,-8,0,500,0,520,0
2020-01-08,Wednesday,cloudy,-9,0,800,1,1254,0
2020-01-09,Thursday,sunny,-1,0,500,0,1257,0
2020-01-10,Friday,cloudy,1,0,500,1,1239,0
2020-01-11,Saturday,sunny,-9,1,800,0,3475,1
2020-01-12,Sunday,cloudy,-5,1,500,1,3145,1
2020-01-13,Monday,sunny,-7,0,600,0,2549,1
2020-01-14,Tuesday,cloudy,1,0,500,1,2056,0
2020-01-15,Wednesday,cloudy,-3,0,600,1,1566,0
2020-01-16,Thursday,sunny,2,0,700,0,1663,0
2020-01-17,Friday,sunny,-3,0,800,0,1783,0
2020-01-18,Saturday,rainy,-10,1,700,0,1243,0
2020-01-19,Sunday,rainy,-3,1,800,0,2167,0
2020-01-20,Monday,cloudy,-6,0,700,0,1225,0
2020-01-21,Tuesday,rainy,-10,0,700,0,686,0
2020-01-22,Wednesday,rainy,-4,0,700,0,702,0
2020-01-23,Thursday,rainy,-1,0,600,0,933,0
2020-01-24,Friday,cloudy,2,0,800,0,984,0
2020-01-25,Saturday,sunny,2,1,700,0,3242,1
2020-01-26,Sunday,cloudy,-8,1,600,1,3510,1
2020-01-27,Monday,cloudy,-5,0,800,1,2443,0
2020-01-28,Tuesday,sunny,-2,0,700,0,1685,0
2020-01-29,Wednesday,sunny,-3,0,700,0,2281,0
2020-01-30,Thursday,sunny,4,0,700,0,2168,0
2020-01-31,Friday,sunny,-1,0,800,0,2016,0
2020-02-01,Saturday,sunny,-9,1,600,0,3313,1
2020-02-02,Sunday,cloudy,3,1,600,0,2600,1
2020-02-03,Monday,cloudy,-4,0,800,0,1707,0
2020-02-04,Tuesday,sunny,4,0,600,0,1880,0
2020-02-05,Wednesday,sunny,4,0,800,0,2147,0
2020-02-06,Thursday,cloudy,2,0,700,0,1454,0
2020-02-07,Friday,sunny,-1,0,700,1,3598,1
2020-02-08,Saturday,cloudy,-3,1,500,0,1822,0
2020-02-09,Sunday,cloudy,-1,1,700,0,1688,0
2020-02-10,Monday,snowy,-7,0,800,0,893,0
2020-02-11,Tuesday,snowy,-6,0,500,1,2038,0
2020-02-12,Wednesday,sunny,-8,0,800,1,3653,1
