date,weekday,weather,temperature,is_holiday,ticket_price,event,visitors,high_attendance
2015-01-01,Thursday,sunny,18,0,500,1,3432,1
2015-01-02,Friday,snowy,-9,0,500,1,1659,0
2015-01-03,Saturday,rainy,7,1,700,0,2317,0
2015-01-04,Sunday,cloudy,20,0,500,0,2926,1
2015-01-05,Monday,sunny,28,0,600,0,1908,0
2015-01-06,Tuesday,sunny,28,0,500,0,2586,1
2015-01-07,Wednesday,sunny,23,0,600,0,2476,0
2015-01-08,Thursday,rainy,8,0,700,0,1165,0
2015-01-09,Friday,cloudy,21,0,600,0,1515,0
2015-01-10,Saturday,rainy,5,1,700,0,2944,1
2015-01-11,Sunday,sunny,26,0,700,0,2972,1
2015-01-12,Monday,snowy,-7,0,500,1,2100,0
2015-01-13,Tuesday,rainy,11,0,700,0,571,0
2015-01-14,Wednesday,sunny,25,0,600,0,1941,0
2015-01-15,Thursday,sunny,18,1,500,1,3653,1
2015-01-16,Friday,sunny,31,1,600,0,2854,1
2015-01-17,Saturday,sunny,22,1,500,0,4272,1
2015-01-18,Sunday,cloudy,18,0,700,0,2411,0
2015-01-19,Monday,cloudy,6,0,500,0,1277,0
2015-01-20,Tuesday,sunny,25,0,500,0,2153,0
2015-01-21,Wednesday,cloudy,15,0,600,1,2327,0
2015-01-22,Thursday,sunny,20,0,600,0,2548,1
2015-01-23,Friday,sunny,28,1,700,0,3418,1
2015-01-24,Saturday,sunny,24,0,600,0,3562,1
2015-01-25,Sunday,cloudy,12,1,700,0,3486,1
2015-01-26,Monday,rainy,9,1,800,0,1206,0
2015-01-27,Tuesday,sunny,22,1,600,0,3038,1
2015-01-28,Wednesday,cloudy,12,0,700,0,1848,0
2015-01-29,Thursday,cloudy,6,0,600,0,1323,0
2015-01-30,Friday,sunny,30,0,500,0,2729,1
2015-01-31,Saturday,cloudy,13,0,600,0,2634,1
2015-02-01,Sunday,sunny,27,0,500,0,3382,1
2015-02-02,Monday,sunny,26,0,800,0,2309,0
2015-02-03,Tuesday,snowy,0,0,500,0,690,0
2015-02-04,Wednesday,snowy,4,0,700,0,791,0
2015-02-05,Thursday,rainy,8,0,600,1,1809,0
2015-02-06,Friday,sunny,31,1,700,0,3384,1
2015-02-07,Saturday,sunny,16,0,500,1,3723,1
2015-02-08,Sunday,cloudy,17,0,700,0,2673,1
